Student_ID,Name,Gender,Age,Department,Admission_Year,Semester,Course_Code,Course_Name,Credit_Hours,Attendance_Percentage,Midterm_Marks,Final_Marks,Assignment_Marks,Total_Marks,Grade,GPA,CGPA,Scholarship,Hostel_Resident,Family_Income_Range,Extracurricular_Activities
STU100012,Rima Ahmed,Female,25,English,2024,5,ENG301,Poetry,3.0,77.6,17.9,45.4,19.3,82.6,A+,4.0,3.43,No,Yes,Below 20k,No
STU100013,Riyad Akter,Male,20,EEE,2022,1,EEE201,Electronics,4.0,92.9,26.8,19.9,19.7,66.4,B+,3.25,3.76,No,Yes,50k-100k,Yes
STU100014,Sakib Alam,Male,24,Physics,2022,3,PHY201,Electromagnetism,3.0,78.8,19.5,37.2,14.7,71.4,A-,3.5,3.2,No,No,Below 20k,No
STU100015,Sabbir Bhuiyan,Male,24,CSE,2022,7,CSE201,Data Structures,3.0,91.4,22.9,9.2,16.0,48.1,C,2.25,2.14,No,No,50k-100k,No
STU100016,Rakib Alam,Male,20,Civil Engineering,2024,4,CE101,Surveying,3.0,75.9,15.7,46.3,19.6,81.6,A+,4.0,4.0,No,No,Below 20k,Yes
STU100017,Tanvir Mia,Male,25,Sociology,2023,2,SOC401,Gender Studies,3.0,59.3,28.9,34.7,15.6,79.2,A,3.75,4.0,No,Yes,Below 20k,No
STU100018,Anik Sarker,Male,22,Mechanical Engineering,2020,6,ME201,Fluid Mechanics,1.0,53.9,27.4,31.3,19.0,77.7,A,3.75,3.56,No,Yes,50k-100k,No
STU100019,Rasel Alam,Male,22,EEE,2020,2,EEE101,Circuit Analysis,3.0,100.0,12.4,25.5,17.3,55.2,B-,2.75,2.95,No,No,Below 20k,Yes
STU100020,Rima Chowdhury,Female,18,Economics,2020,8,ECO401,Development Economics,4.0,82.6,20.2,31.4,18.6,70.2,A-,3.5,4.0,Yes,No,Above 100k,No
STU100021,Zubayer Sarker,Male,22,Pharmacy,2020,6,PHR301,Medicinal Chemistry,3.0,87.8,18.4,26.9,20.0,65.3,B+,3.25,3.32,No,No,50k-100k,Yes
STU100022,Rakib Islam,Male,20,Mathematics,2022,6,MAT201,Linear Algebra,3.0,72.5,23.9,25.6,14.7,64.2,B,3.0,3.02,No,No,Above 100k,No
STU100023,Mahin Akter,Male,22,EEE,2022,7,EEE401,Power Systems,3.0,62.0,21.8,39.8,8.3,69.9,B+,3.25,3.8,Yes,Yes,Below 20k,No
STU100024,Sabbir Sikder,Male,19,EEE,2024,2,EEE101,Circuit Analysis,2.0,86.0,16.2,35.5,20.0,71.7,A-,3.5,3.58,No,Yes,Below 20k,No
STU100025,Popy Mollah,Female,23,English,2020,2,ENG101,English Literature,3.0,78.1,21.8,35.6,15.0,72.4,A-,3.5,3.62,No,No,Above 100k,Yes
STU100026,Zubayer Ahmed,Male,23,Law,2021,8,LAW101,Legal Methods,3.0,78.3,16.4,43.4,18.5,78.3,A,3.75,3.52,No,No,Below 20k,No
STU100027,Riyad Alam,Male,22,BBA,2021,5,BBA101,Principles of Management,3.0,77.7,30.0,34.2,12.2,76.4,A,3.75,3.98,No,No,20k-50k,No
STU100028,Rima Islam,Female,19,Pharmacy,2024,3,PHR101,Pharmaceutics,3.0,90.6,8.4,26.8,12.8,48.0,C,2.25,2.22,No,Yes,Below 20k,No
STU100029,Fahim Islam,Male,25,English,2020,8,ENG201,Linguistics,4.0,78.1,19.3,50.0,15.9,85.2,A+,4.0,3.55,No,Yes,20k-50k,Yes
STU100030,Moushumi Mollah,Female,24,Mechanical Engineering,2024,8,ME201,Fluid Mechanics,2.0,79.4,29.3,29.8,16.1,75.2,A,3.75,3.66,No,Yes,20k-50k,No
STU100031,Sabbir Mollah,Male,22,Mechanical Engineering,2020,6,ME301,Machine Design,4.0,100.0,26.0,45.9,18.3,90.2,A+,4.0,3.92,No,No,20k-50k,Yes
STU100032,Sabbir Hossain,Male,21,English,2023,1,ENG301,Poetry,4.0,86.5,21.1,31.1,14.5,66.7,B+,3.25,3.74,No,Yes,50k-100k,No
STU100033,Nusrat Hossain,Female,18,Physics,2020,5,PHY301,Quantum Physics,2.0,84.7,27.9,16.4,15.8,60.1,B,3.0,2.51,No,No,20k-50k,Yes
STU100034,Ritu Hossain,Female,20,CSE,2024,3,CSE201,Data Structures,3.0,84.1,14.0,29.6,6.5,50.1,C+,2.5,2.65,No,Yes,20k-50k,Yes
STU100035,Anika Uddin,Female,19,Mechanical Engineering,2020,7,ME201,Fluid Mechanics,3.0,78.9,19.2,38.9,19.3,77.4,A,3.75,4.0,No,No,Above 100k,No
STU100036,Nayeem Alam,Male,23,Mechanical Engineering,2023,3,ME101,Thermodynamics,3.0,86.0,30.0,15.4,9.6,55.0,B-,2.75,3.05,No,No,Below 20k,Yes
STU100037,Emon Uddin,Male,18,Architecture,2023,6,ARC301,Urban Planning,1.0,78.2,22.0,50.0,12.7,84.7,A+,4.0,3.67,No,No,20k-50k,Yes
STU100038,Farhana Talukder,Female,18,Pharmacy,2020,2,PHR201,Pharmacology,3.0,90.1,30.0,46.0,17.8,93.8,A+,4.0,4.0,No,No,Above 100k,Yes
STU100039,Sourav Hossain,Male,24,Economics,2019,2,ECO101,Microeconomics,2.0,91.1,15.4,44.1,14.9,74.4,A-,3.5,3.13,No,Yes,Below 20k,No
STU100040,Sabbir Mia,Male,22,English,2022,2,ENG101,English Literature,3.0,100.0,26.6,35.2,17.4,79.2,A,3.75,3.65,No,No,50k-100k,Yes
STU100041,Anik Ahmed,Male,23,Public Health,2021,3,PH401,Global Health,2.0,69.6,30.0,10.1,20.0,60.1,B,3.0,3.06,No,No,20k-50k,No
STU100042,Emon Chowdhury,Male,24,Law,2021,4,LAW201,Constitutional Law,4.0,70.9,23.1,22.6,6.7,52.4,C+,2.5,2.33,No,No,20k-50k,No
STU100043,Sathi Rahman,Female,25,EEE,2023,8,EEE201,Electronics,4.0,65.8,23.0,37.0,10.8,70.8,A-,3.5,3.86,No,No,20k-50k,No
STU100044,Emon Talukder,Male,24,EEE,2021,6,EEE301,Signals and Systems,3.0,82.6,13.4,31.9,14.4,59.7,B-,2.75,3.14,No,No,50k-100k,No
STU100045,Tania Hossain,Female,25,EEE,2023,6,EEE401,Power Systems,3.0,79.8,16.5,24.3,10.4,51.2,C+,2.5,2.24,Yes,No,50k-100k,No
STU100046,Rafi Talukder,Male,22,Economics,2021,8,ECO301,Econometrics,3.0,63.8,20.1,37.4,11.0,68.5,B+,3.25,3.36,No,No,20k-50k,No
STU100047,Tanvir Mia,Male,18,Sociology,2024,6,SOC401,Gender Studies,3.0,87.9,26.6,37.1,8.8,72.5,A-,3.5,3.12,No,Yes,50k-100k,No
STU100048,Imran Akter,Male,24,Public Health,2022,7,PH101,Epidemiology,3.0,82.0,22.3,36.7,17.2,76.2,A,3.75,3.62,Yes,No,20k-50k,Yes
STU100049,Shakil Mia,Male,23,Journalism,2022,4,JOU301,Broadcast Journalism,3.0,82.4,20.4,33.4,20.0,73.8,A-,3.5,3.24,Yes,Yes,Above 100k,No
STU100050,Moushumi Khan,Female,24,Mechanical Engineering,2023,7,ME301,Machine Design,3.0,77.8,21.2,37.4,14.8,73.4,A-,3.5,4.0,No,Yes,Below 20k,No
STU100051,Nusrat Hossain,Female,23,Pharmacy,2023,4,PHR401,Clinical Pharmacy,3.0,85.7,24.0,43.8,13.0,80.8,A+,4.0,4.0,No,Yes,20k-50k,No
STU100052,Jannat Sikder,Female,20,Public Health,2024,2,PH301,Health Policy,4.0,73.9,20.7,26.8,18.9,66.4,B+,3.25,3.26,No,No,50k-100k,No
STU100053,Moushumi Rahman,Female,18,Sociology,2024,3,SOC401,Gender Studies,3.0,67.1,27.3,18.6,20.0,65.9,B+,3.25,2.75,No,Yes,20k-50k,Yes
STU100054,Shanta Mollah,Female,21,BBA,2022,8,BBA201,Marketing,3.0,100.0,18.8,35.7,20.0,74.5,A-,3.5,3.7,No,No,20k-50k,Yes
STU100055,Sumaiya Khan,Female,24,Public Health,2020,7,PH301,Health Policy,3.0,75.4,25.8,23.3,16.0,65.1,B+,3.25,3.37,No,No,20k-50k,No
STU100056,Sabbir Bhuiyan,Male,19,Journalism,2021,7,JOU101,News Writing,3.0,100.0,10.1,31.4,17.1,58.6,B-,2.75,2.36,No,Yes,50k-100k,No
STU100057,Rasel Mollah,Male,21,English,2024,1,ENG201,Linguistics,4.0,97.1,22.9,32.7,16.8,72.4,A-,3.5,3.81,No,No,Below 20k,Yes
STU100058,Rahim Mollah,Male,21,Sociology,2024,1,SOC101,Intro to Sociology,4.0,98.3,21.4,22.4,19.3,63.1,B,3.0,3.28,No,Yes,50k-100k,Yes
STU100059,Tanvir Bhuiyan,Male,19,EEE,2021,7,EEE301,Signals and Systems,4.0,64.8,15.1,32.0,13.1,60.2,B,3.0,3.24,No,No,20k-50k,Yes
STU100060,Hasan Hossain,Male,20,Law,2021,6,LAW301,Criminal Law,1.0,100.0,11.7,14.2,20.0,45.9,C,2.25,2.93,Yes,No,50k-100k,No
STU100061,Mahin Sikder,Male,20,Mathematics,2023,1,MAT201,Linear Algebra,2.0,70.0,19.2,26.5,14.9,60.6,B,3.0,2.19,No,No,20k-50k,No
STU100062,Sathi Ahmed,Female,18,Economics,2019,3,ECO301,Econometrics,3.0,100.0,13.7,37.2,20.0,70.9,A-,3.5,3.81,No,Yes,50k-100k,Yes
STU100063,Shakil Rahman,Male,19,Public Health,2022,6,PH301,Health Policy,3.0,74.1,21.4,40.7,13.6,75.7,A,3.75,3.29,No,Yes,50k-100k,No
STU100064,Sourav Rahman,Male,20,Public Health,2020,5,PH401,Global Health,2.0,72.4,19.1,31.1,9.9,60.1,B,3.0,3.28,No,No,50k-100k,No
STU100065,Shakil Mia,Male,22,English,2019,5,ENG101,English Literature,3.0,61.1,30.0,30.6,13.1,73.7,A-,3.5,3.2,No,No,Below 20k,No
STU100066,Riyad Talukder,Male,22,Pharmacy,2019,5,PHR301,Medicinal Chemistry,3.0,70.1,17.1,38.0,13.3,68.4,B+,3.25,3.14,No,No,Below 20k,Yes
STU100067,Ritu Sarker,Female,18,BBA,2019,6,BBA301,Finance,3.0,94.0,13.0,27.1,15.3,55.4,B-,2.75,2.53,Yes,No,20k-50k,Yes
STU100068,Hasan Rahman,Male,23,EEE,2022,1,EEE301,Signals and Systems,4.0,77.0,18.2,42.2,18.3,78.7,A,3.75,4.0,No,Yes,Above 100k,No
STU100069,Ayesha Akter,Female,25,English,2022,2,ENG101,English Literature,2.0,64.0,13.6,30.4,8.3,52.3,C+,2.5,2.41,Yes,No,50k-100k,Yes
STU100070,Mim Islam,Female,22,BBA,2023,8,BBA401,HRM,3.0,100.0,28.1,21.6,19.4,69.1,B+,3.25,3.45,No,Yes,20k-50k,Yes
STU100071,Anik Islam,Male,20,Mathematics,2024,8,MAT201,Linear Algebra,3.0,89.4,10.1,36.4,16.8,63.3,B,3.0,3.09,No,No,Above 100k,No
STU100072,Rafi Uddin,Male,24,CSE,2021,5,CSE201,Data Structures,2.0,69.4,21.9,36.2,16.2,74.3,A-,3.5,3.54,No,Yes,50k-100k,Yes
STU100073,Sumaiya Hossain,Female,24,Mechanical Engineering,2023,3,ME301,Machine Design,3.0,83.8,11.3,34.1,20.0,65.4,B+,3.25,3.86,Yes,No,50k-100k,No
STU100074,Farhana Mollah,Female,25,English,2019,1,ENG401,Drama,3.0,86.7,15.7,31.7,15.2,62.6,B,3.0,2.49,No,No,Below 20k,Yes
STU100075,Fatema Alam,Female,23,Sociology,2024,5,SOC101,Intro to Sociology,2.0,87.8,25.2,41.1,9.9,76.2,A,3.75,3.91,No,No,50k-100k,No
STU100076,Sumaiya Uddin,Female,18,Architecture,2019,7,ARC401,Landscape Architecture,3.0,79.4,24.4,41.9,16.9,83.2,A+,4.0,4.0,No,No,20k-50k,No
STU100077,Zubayer Akter,Male,22,Mechanical Engineering,2023,1,ME201,Fluid Mechanics,3.0,49.3,25.6,32.8,18.4,76.8,A,3.75,3.82,No,No,Below 20k,No
STU100078,Karim Sikder,Male,18,EEE,2023,5,EEE201,Electronics,4.0,87.3,13.3,37.7,11.5,62.5,B,3.0,3.22,Yes,Yes,Below 20k,No
STU100079,Sabbir Khan,Male,22,Law,2020,8,LAW301,Criminal Law,2.0,94.1,18.1,37.6,11.6,67.3,B+,3.25,3.09,No,No,Below 20k,No
STU100080,Fatema Islam,Female,24,English,2023,7,ENG201,Linguistics,1.0,82.8,19.4,22.7,20.0,62.1,B,3.0,3.17,No,No,20k-50k,Yes
STU100081,Sadia Hossain,Female,18,Civil Engineering,2022,2,CE401,Transportation Engineering,2.0,66.2,30.0,41.3,11.9,83.2,A+,4.0,3.97,No,Yes,20k-50k,Yes
STU100082,Tanvir Uddin,Male,25,Economics,2023,3,ECO301,Econometrics,2.0,72.1,16.7,36.5,18.2,71.4,A-,3.5,3.7,No,Yes,Below 20k,No
STU100083,Sabbir Rahman,Male,20,Mathematics,2023,6,MAT301,Differential Equations,3.0,87.1,16.6,50.0,20.0,86.6,A+,4.0,3.98,No,No,Below 20k,Yes
STU100084,Sabbir Mia,Male,24,BBA,2022,7,BBA101,Principles of Management,2.0,93.9,17.7,40.3,19.1,77.1,A,3.75,3.84,No,No,Below 20k,No
STU100085,Mahin Hossain,Male,19,Architecture,2022,1,ARC201,Design Studio II,3.0,82.6,17.8,30.0,15.3,63.1,B,3.0,3.08,No,No,20k-50k,Yes
STU100086,Nishat Mia,Female,23,English,2021,6,ENG401,Drama,4.0,79.2,28.7,27.5,13.7,69.9,B+,3.25,3.53,No,No,Below 20k,Yes
STU100087,Lamia Mia,Female,25,Journalism,2021,3,JOU101,News Writing,2.0,85.8,24.1,50.0,15.7,89.8,A+,4.0,4.0,No,No,20k-50k,Yes
STU100088,Jannat Uddin,Female,21,Architecture,2021,7,ARC101,Design Studio I,2.0,93.7,19.2,21.8,11.6,52.6,C+,2.5,2.47,No,Yes,50k-100k,No
STU100089,Shakil Mollah,Male,22,Public Health,2019,2,PH101,Epidemiology,3.0,85.2,17.4,46.6,13.1,77.1,A,3.75,3.93,No,No,20k-50k,Yes
STU100090,Imran Islam,Male,25,Sociology,2021,2,SOC301,Urban Sociology,3.0,74.6,12.5,21.4,20.0,53.9,C+,2.5,2.35,No,Yes,20k-50k,Yes
STU100091,Anika Akter,Female,20,Sociology,2024,3,SOC401,Gender Studies,3.0,95.6,23.6,43.4,20.0,87.0,A+,4.0,3.99,No,No,Below 20k,No
STU100092,Priya Mollah,Female,19,Pharmacy,2024,4,PHR401,Clinical Pharmacy,3.0,86.8,14.9,26.8,16.3,58.0,B-,2.75,2.67,No,No,20k-50k,Yes
STU100093,Anika Khan,Female,21,Mechanical Engineering,2024,7,ME101,Thermodynamics,3.0,73.7,21.2,35.2,11.9,68.3,B+,3.25,2.55,No,Yes,Below 20k,No
STU100094,Priya Mia,Female,22,EEE,2022,7,EEE101,Circuit Analysis,3.0,77.8,15.0,19.1,15.3,49.4,C,2.25,2.38,No,No,50k-100k,Yes
STU100095,Sabbir Hossain,Male,22,English,2024,8,ENG201,Linguistics,4.0,81.9,23.2,45.7,17.2,86.1,A+,4.0,4.0,No,No,Below 20k,No
STU100096,Hasan Rahman,Male,24,Economics,2023,8,ECO401,Development Economics,3.0,95.7,23.4,31.9,20.0,75.3,A,3.75,3.83,No,No,50k-100k,Yes
STU100097,Sakib Rahman,Male,20,English,2022,4,ENG401,Drama,2.0,100.0,8.8,27.3,13.3,49.4,C,2.25,2.23,No,Yes,20k-50k,No
STU100098,Sourav Talukder,Male,18,English,2021,8,ENG201,Linguistics,1.0,55.5,21.1,33.0,20.0,74.1,A-,3.5,3.77,No,No,20k-50k,Yes
STU100099,Rasel Mollah,Male,23,Economics,2024,6,ECO201,Macroeconomics,3.0,96.1,15.4,50.0,14.8,80.2,A+,4.0,4.0,Yes,No,20k-50k,No
STU100100,Zubayer Islam,Male,25,CSE,2022,8,CSE301,Database Systems,3.0,100.0,11.2,36.6,9.0,56.8,B-,2.75,2.12,No,Yes,Below 20k,No
STU100101,Mim Akter,Female,23,Sociology,2022,4,SOC101,Intro to Sociology,3.0,81.0,20.1,40.0,16.9,77.0,A,3.75,3.71,No,Yes,Above 100k,Yes
STU100102,Riyad Bhuiyan,Male,24,Journalism,2023,8,JOU401,Digital Media,3.0,77.4,16.1,34.2,11.4,61.7,B,3.0,3.02,No,No,Below 20k,No
STU100103,Anik Khan,Male,22,BBA,2023,1,BBA401,HRM,3.0,95.3,16.7,32.6,13.6,62.9,B,3.0,3.25,Yes,No,50k-100k,Yes
STU100104,Sumaiya Islam,Female,25,Physics,2024,1,PHY401,Thermal Physics,4.0,80.2,22.5,17.2,13.5,53.2,C+,2.5,2.33,No,Yes,20k-50k,Yes
STU100105,Nayeem Islam,Male,24,Public Health,2023,5,PH401,Global Health,3.0,79.7,14.4,48.7,13.6,76.7,A,3.75,3.59,No,Yes,Below 20k,Yes
STU100106,Rakib Rahman,Male,19,Journalism,2023,1,JOU201,Media Ethics,3.0,100.0,17.3,29.7,19.1,66.1,B+,3.25,3.47,No,Yes,20k-50k,Yes
STU100107,Shanta Khan,Female,21,Sociology,2020,7,SOC301,Urban Sociology,3.0,72.0,19.4,30.6,15.1,65.1,B+,3.25,3.35,Yes,Yes,50k-100k,No
STU100108,Nayeem Sikder,Male,22,Law,2019,2,LAW101,Legal Methods,2.0,72.3,17.9,47.0,8.1,73.0,A-,3.5,3.28,No,No,50k-100k,No
STU100109,Rasel Sarker,Male,20,EEE,2024,8,EEE401,Power Systems,2.0,63.4,25.2,21.4,17.6,64.2,B,3.0,3.09,No,No,Below 20k,No
STU100110,Imran Mollah,Male,21,Economics,2024,6,ECO401,Development Economics,3.0,83.3,11.5,38.3,20.0,69.8,B+,3.25,3.17,No,Yes,Below 20k,No
STU100111,Karim Islam,Male,20,Economics,2022,3,ECO301,Econometrics,3.0,92.6,26.8,38.1,18.1,83.0,A+,4.0,4.0,No,Yes,Below 20k,No
STU100112,Sumaiya Bhuiyan,Female,20,Journalism,2023,2,JOU401,Digital Media,4.0,82.0,21.8,39.2,20.0,81.0,A+,4.0,3.87,No,No,Below 20k,Yes
STU100113,Anika Akter,Female,25,Architecture,2022,4,ARC101,Design Studio I,3.0,72.2,11.5,48.6,18.0,78.1,A,3.75,3.66,No,No,50k-100k,Yes
STU100114,Priya Hossain,Female,25,Architecture,2022,1,ARC401,Landscape Architecture,4.0,93.2,22.6,42.5,13.0,78.1,A,3.75,4.0,Yes,No,20k-50k,Yes
STU100115,Sumaiya Rahman,Female,18,Journalism,2021,1,JOU201,Media Ethics,2.0,99.2,11.3,27.1,14.8,53.2,C+,2.5,2.29,No,No,50k-100k,Yes
STU100116,Moushumi Talukder,Female,19,Public Health,2022,6,PH101,Epidemiology,3.0,92.7,19.4,20.1,12.8,52.3,C+,2.5,2.9,No,Yes,Above 100k,Yes
STU100117,Rakib Alam,Male,23,Architecture,2023,3,ARC201,Design Studio II,3.0,89.3,28.4,45.0,7.1,80.5,A+,4.0,3.93,Yes,Yes,20k-50k,No
STU100118,Ritu Sarker,Female,22,Law,2023,8,LAW401,International Law,4.0,93.7,18.7,27.3,18.0,64.0,B,3.0,2.94,No,No,20k-50k,Yes
STU100119,Anik Mollah,Male,24,English,2019,3,ENG101,English Literature,4.0,73.1,18.2,31.5,14.4,64.1,B,3.0,2.47,No,Yes,Above 100k,No
STU100120,Sathi Mollah,Female,23,Architecture,2020,6,ARC301,Urban Planning,1.0,85.7,24.5,32.9,14.7,72.1,A-,3.5,3.71,No,No,Below 20k,No
STU100121,Jannat Hossain,Female,24,Civil Engineering,2019,8,CE201,Structural Analysis,3.0,67.6,16.9,13.5,11.9,42.3,D,2.0,1.97,No,No,Below 20k,No
STU100122,Zubayer Bhuiyan,Male,19,EEE,2024,6,EEE301,Signals and Systems,3.0,73.0,20.0,21.9,16.5,58.4,B-,2.75,3.29,No,No,50k-100k,Yes
STU100123,Hasan Mollah,Male,20,Civil Engineering,2021,4,CE301,Geotechnical Engineering,3.0,61.1,13.1,50.0,11.0,74.1,A-,3.5,3.88,No,No,Below 20k,No
STU100124,Tanvir Rahman,Male,23,English,2024,8,ENG101,English Literature,3.0,91.0,17.3,35.4,20.0,72.7,A-,3.5,3.13,Yes,Yes,50k-100k,No
STU100125,Tanvir Akter,Male,25,Law,2023,6,LAW101,Legal Methods,1.0,84.2,11.7,26.2,17.6,55.5,B-,2.75,2.79,No,No,20k-50k,No
STU100126,Priya Rahman,Female,18,EEE,2021,2,EEE201,Electronics,4.0,71.5,9.7,30.4,14.8,54.9,C+,2.5,2.34,No,No,20k-50k,No
STU100127,Popy Khan,Female,22,Architecture,2019,5,ARC301,Urban Planning,3.0,75.7,10.8,37.6,18.6,67.0,B+,3.25,3.22,No,No,50k-100k,No
STU100128,Emon Chowdhury,Male,24,Mechanical Engineering,2024,8,ME401,Heat Transfer,3.0,80.3,21.5,38.2,13.7,73.4,A-,3.5,4.0,No,No,Below 20k,No
STU100129,Rahim Sikder,Male,22,Public Health,2024,5,PH201,Biostatistics,3.0,79.8,16.6,47.2,17.2,81.0,A+,4.0,3.57,No,No,20k-50k,No
STU100130,Anik Sarker,Male,24,Journalism,2023,3,JOU101,News Writing,3.0,83.8,18.6,24.1,18.0,60.7,B,3.0,2.37,No,Yes,20k-50k,Yes
STU100131,Rasel Bhuiyan,Male,22,English,2020,4,ENG301,Poetry,3.0,89.2,16.0,25.2,17.8,59.0,B-,2.75,2.97,No,No,20k-50k,Yes
STU100132,Fahim Rahman,Male,25,Civil Engineering,2022,2,CE401,Transportation Engineering,2.0,84.2,17.7,34.5,19.1,71.3,A-,3.5,3.04,No,Yes,20k-50k,Yes
STU100133,Imran Sarker,Male,23,Economics,2021,8,ECO301,Econometrics,3.0,70.2,21.9,50.0,20.0,91.9,A+,4.0,4.0,No,No,Below 20k,Yes
STU100134,Ritu Chowdhury,Female,23,Physics,2023,1,PHY201,Electromagnetism,3.0,80.4,27.5,25.1,12.0,64.6,B,3.0,3.25,No,No,Below 20k,No
STU100135,Karim Rahman,Male,25,Mathematics,2024,6,MAT101,Calculus,3.0,45.3,10.4,18.0,16.3,44.7,D,2.0,1.5,No,No,Below 20k,No
STU100136,Rahim Sikder,Male,19,Economics,2021,1,ECO301,Econometrics,2.0,77.0,21.5,29.7,16.4,67.6,B+,3.25,3.64,No,Yes,20k-50k,No
STU100137,Moushumi Chowdhury,Female,22,English,2021,3,ENG201,Linguistics,3.0,97.9,16.4,30.9,15.4,62.7,B,3.0,3.01,No,Yes,20k-50k,Yes
STU100138,Sabbir Alam,Male,21,Mechanical Engineering,2021,1,ME101,Thermodynamics,3.0,94.1,22.8,20.9,6.9,50.6,C+,2.5,2.47,Yes,No,20k-50k,No
STU100139,Tania Akter,Female,19,Economics,2022,1,ECO301,Econometrics,3.0,95.5,25.3,27.8,12.9,66.0,B+,3.25,3.15,No,No,Below 20k,Yes
STU100140,Sumaiya Islam,Female,25,English,2021,3,ENG401,Drama,3.0,90.4,16.2,39.1,13.3,68.6,B+,3.25,3.6,Yes,No,20k-50k,Yes
STU100141,Sakib Uddin,Male,25,English,2023,5,ENG401,Drama,3.0,77.6,16.4,34.8,14.4,65.6,B+,3.25,3.02,No,No,20k-50k,Yes
STU100142,Zubayer Khan,Male,24,CSE,2023,5,CSE101,Intro to Programming,3.0,100.0,15.9,40.8,13.0,69.7,B+,3.25,3.48,No,Yes,20k-50k,No
STU100143,Fahim Khan,Male,19,EEE,2019,7,EEE101,Circuit Analysis,1.0,83.8,24.6,41.6,16.5,82.7,A+,4.0,3.45,No,No,Below 20k,Yes
STU100144,Arif Mollah,Male,19,Physics,2020,8,PHY301,Quantum Physics,3.0,74.3,13.8,41.2,14.1,69.1,B+,3.25,3.1,No,Yes,Above 100k,Yes
STU100145,Emon Ahmed,Male,24,EEE,2019,7,EEE201,Electronics,3.0,83.9,7.5,28.1,16.3,51.9,C+,2.5,2.64,No,No,20k-50k,Yes
STU100146,Tania Alam,Female,24,Public Health,2023,7,PH101,Epidemiology,3.0,99.8,16.7,28.2,14.2,59.1,B-,2.75,3.27,No,No,50k-100k,No
STU100147,Fahim Islam,Male,21,Architecture,2024,5,ARC201,Design Studio II,1.0,77.4,26.8,15.7,4.8,47.3,C,2.25,2.63,Yes,Yes,Above 100k,No
STU100148,Sakib Ahmed,Male,20,Law,2024,5,LAW301,Criminal Law,3.0,81.6,21.2,37.3,13.2,71.7,A-,3.5,3.37,Yes,No,20k-50k,Yes
STU100149,Nayeem Rahman,Male,21,Public Health,2021,1,PH301,Health Policy,3.0,93.4,27.1,37.5,20.0,84.6,A+,4.0,3.64,No,No,50k-100k,No
STU100150,Sadia Khan,Female,18,Civil Engineering,2021,3,CE401,Transportation Engineering,3.0,99.8,22.4,20.4,20.0,62.8,B,3.0,3.07,Yes,Yes,50k-100k,No
STU100151,Rafi Khan,Male,20,Mathematics,2022,1,MAT401,Statistics,2.0,76.3,21.6,34.7,7.8,64.1,B,3.0,3.11,No,Yes,20k-50k,No
STU100152,Shakil Sikder,Male,22,Sociology,2019,4,SOC401,Gender Studies,3.0,70.1,18.5,17.9,16.4,52.8,C+,2.5,2.76,No,No,Above 100k,No
